"","month","year","CPIAUCSL","ratio"
"49","jan",2005,191.6,1.24136743215031
"50","feb",2005,192.4,1.23620582120582
"51","mar",2005,193.1,1.23172449508027
"52","apr",2005,193.7,1.22790913784202
"53","may",2005,193.6,1.22854338842975
"54","jun",2005,193.7,1.22790913784202
"55","jul",2005,194.9,1.22034889687019
"56","aug",2005,196.1,1.21288118306986
"57","sep",2005,198.8,1.19640845070423
"58","oct",2005,199.1,1.19460572576595
"59","nov",2005,198.1,1.20063604240283
"60","dec",2005,198.1,1.20063604240283
"61","jan",2006,199.3,1.19340692423482
"62","feb",2006,199.4,1.19280842527583
"63","mar",2006,199.7,1.19101652478718
"64","apr",2006,200.7,1.1850822122571
"65","may",2006,201.3,1.18154992548435
"66","jun",2006,201.8,1.17862239841427
"67","jul",2006,202.9,1.17223262690981
"68","aug",2006,203.8,1.16705593719333
"69","sep",2006,202.8,1.17281065088757
"70","oct",2006,201.9,1.17803863298663
"71","nov",2006,202,1.17745544554455
"72","dec",2006,203.1,1.17107828655835
"73","jan",2007,203.437,1.1691383573293
"74","feb",2007,204.226,1.16462154671785
"75","mar",2007,205.288,1.15859670316823
"76","apr",2007,205.904,1.15513054627399
"77","may",2007,206.755,1.15037604894682
"78","jun",2007,207.234,1.1477170734532
"79","jul",2007,207.603,1.14567708559125
"80","aug",2007,207.667,1.14532400429534
"81","sep",2007,208.547,1.14049111231521
"82","oct",2007,209.19,1.13698551556002
"83","nov",2007,210.834,1.12811975298102
"84","dec",2007,211.445,1.12485989264348
"85","jan",2008,212.174,1.12099503237909
"86","feb",2008,212.687,1.11829119786353
"87","mar",2008,213.448,1.11430418649976
"88","apr",2008,213.942,1.11173121687186
"89","may",2008,215.208,1.1051912568306
"90","jun",2008,217.463,1.09373088755328
"91","jul",2008,219.016,1.08597545384812
"92","aug",2008,218.69,1.08759431158261
"93","sep",2008,218.877,1.0866651132828
"94","oct",2008,216.995,1.09608977165372
"95","nov",2008,213.153,1.11584636387947
"96","dec",2008,211.398,1.12510998211904
"97","jan",2009,211.933,1.12226977393799
"98","feb",2009,212.705,1.11819656331539
"99","mar",2009,212.495,1.1193016306266
"100","apr",2009,212.709,1.11817553559088
"101","may",2009,213.022,1.11653256471163
"102","jun",2009,214.79,1.10734205503049
"103","jul",2009,214.726,1.10767210305226
"104","aug",2009,215.445,1.10397549258511
"105","sep",2009,215.861,1.10184794844831
"106","oct",2009,216.509,1.09855017574327
"107","nov",2009,217.234,1.09488385795962
"108","dec",2009,217.347,1.09431462131982
"109","jan",2010,217.488,1.09360516442286
"110","feb",2010,217.281,1.09464702389993
"111","mar",2010,217.353,1.09428441291356
"112","apr",2010,217.403,1.09403274103853
"113","may",2010,217.29,1.09460168438492
"114","jun",2010,217.199,1.09506029033283
"115","jul",2010,217.605,1.09301716412766
"116","aug",2010,217.923,1.09142219958426
"117","sep",2010,218.275,1.0896621234681
"118","oct",2010,219.035,1.08588125185473
"119","nov",2010,219.59,1.08313675486133
"120","dec",2010,220.472,1.07880365760732
"121","jan",2011,221.187,1.07531636126897
"122","feb",2011,221.898,1.07187085958413
"123","mar",2011,223.046,1.066354025627
"124","apr",2011,224.093,1.06137184115523
"125","may",2011,224.806,1.05800556924637
"126","jun",2011,224.806,1.05800556924637
"127","jul",2011,225.395,1.05524079948535
"128","aug",2011,226.106,1.05192254960063
"129","sep",2011,226.597,1.04964319915974
"130","oct",2011,226.75,1.04893495038589
"131","nov",2011,227.169,1.04700025091452
"132","dec",2011,227.223,1.04675142921271
"133","jan",2012,227.842,1.04390762019294
"134","feb",2012,228.329,1.04168108299866
"135","mar",2012,228.807,1.03950491025187
"136","apr",2012,229.187,1.03778137503436
"137","may",2012,228.713,1.03993214202953
"138","jun",2012,228.524,1.04079221438448
"139","jul",2012,228.59,1.04049171004856
"140","aug",2012,229.918,1.03448185874964
"141","sep",2012,231.015,1.02956950847348
"142","oct",2012,231.638,1.02680043861543
"143","nov",2012,231.249,1.02852769093056
"144","dec",2012,231.221,1.02865224179465
"145","jan",2013,231.612,1.02691570384954
"146","feb",2013,232.985,1.02086400412044
"147","mar",2013,232.299,1.02387870804437
"148","apr",2013,231.795,1.02610496343752
"149","may",2013,231.916,1.02556960278722
"150","jun",2013,232.374,1.02354824550079
"151","jul",2013,232.889,1.0212848180893
"152","aug",2013,233.323,1.01938514419924
"153","sep",2013,233.632,1.01803691275168
"154","oct",2013,233.718,1.01766231099017
"155","nov",2013,234.121,1.01591057615507
"156","dec",2013,234.723,1.01330504466967
"157","jan",2014,235.385,1.01045521167449
"158","feb",2014,235.672,1.00922468515564
"159","mar",2014,235.978,1.00791599216876
"160","apr",2014,236.471,1.00581466649187
"161","may",2014,236.832,1.00428151601135
"162","jun",2014,237.029,1.00344683561927
"163","jul",2014,237.424,1.00177741087674
"164","aug",2014,237.256,1.00248676535051
"165","sep",2014,237.486,1.00151587883075
"166","oct",2014,237.506,1.00143154278208
"167","nov",2014,237.118,1.00307020133436
"168","dec",2014,236.29,1.00658512844386
"169","jan",2015,234.913,1.01248547334545
"170","feb",2015,235.489,1.01000896007881
"171","mar",2015,235.989,1.00786901084373
"172","apr",2015,236.201,1.00696440743265
"173","may",2015,236.891,1.00403138996416
"174","jun",2015,237.419,1.00179850812277
"175","jul",2015,237.876,0.99987388387227
"176","aug",2015,237.811,1.00014717569835
"177","sep",2015,237.467,1.00159601123525
"178","oct",2015,237.792,1.00022708922083
"179","nov",2015,238.153,0.998710912732571
"180","dec",2015,237.846,1
